aimed_arrival,line_id,timestamp,realtime,aimed_departure,expected_arrival,expected_departure,quay_id,line_name,transport_mode,expected_delay,timestamp_delay
2025-05-29 17:11:00+02:00,RUT:Line:160,2025-05-29 15:12:53+02:00,True,2025-05-29 17:11:00+02:00,2025-05-29 17:13:47+02:00,2025-05-29 17:13:47+02:00,NSR:Quay:6983,Rykkinn -Nationaltheatret,bus,0 days 00:02:47,-1 days +22:01:53
2025-05-29 17:13:00+02:00,RUT:Line:160,2025-05-29 15:13:23+02:00,True,2025-05-29 17:13:00+02:00,2025-05-29 17:14:35+02:00,2025-05-29 17:14:35+02:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:01:35,-1 days +22:00:23
2025-05-29 17:26:00+02:00,RUT:Line:160,2025-05-29 15:26:59+02:00,True,2025-05-29 17:26:00+02:00,2025-05-29 17:27:30+02:00,2025-05-29 17:27:30+02:00,NSR:Quay:6983,Rykkinn -Nationaltheatret,bus,0 days 00:01:30,-1 days +22:00:59
2025-05-29 17:28:00+02:00,RUT:Line:160,2025-05-29 15:29:29+02:00,True,2025-05-29 17:28:00+02:00,2025-05-29 17:30:03+02:00,2025-05-29 17:30:03+02:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:02:03,-1 days +22:01:29
2025-05-29 17:41:00+02:00,RUT:Line:160,2025-05-29 15:42:04+02:00,True,2025-05-29 17:41:00+02:00,2025-05-29 17:43:34+02:00,2025-05-29 17:43:34+02:00,NSR:Quay:6983,Rykkinn -Nationaltheatret,bus,0 days 00:02:34,-1 days +22:01:04
2025-05-29 17:43:00+02:00,RUT:Line:160,2025-05-29 15:44:35+02:00,True,2025-05-29 17:43:00+02:00,2025-05-29 17:44:59+02:00,2025-05-29 17:44:59+02:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:01:59,-1 days +22:01:35
2025-05-29 17:56:00+02:00,RUT:Line:160,2025-05-29 15:57:41+02:00,True,2025-05-29 17:56:00+02:00,2025-05-29 17:59:23+02:00,2025-05-29 17:59:23+02:00,NSR:Quay:6983,Rykkinn -Nationaltheatret,bus,0 days 00:03:23,-1 days +22:01:41
2025-05-29 17:58:00+02:00,RUT:Line:160,2025-05-29 15:58:11+02:00,True,2025-05-29 17:58:00+02:00,2025-05-29 17:59:39+02:00,2025-05-29 17:59:39+02:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:01:39,-1 days +22:00:11
2025-05-29 18:11:00+02:00,RUT:Line:160,2025-05-29 16:12:01+02:00,True,2025-05-29 18:11:00+02:00,2025-05-29 18:13:30+02:00,2025-05-29 18:13:30+02:00,NSR:Quay:6983,Rykkinn -Nationaltheatret,bus,0 days 00:02:30,-1 days +22:01:01
2025-05-29 18:13:00+02:00,RUT:Line:160,2025-05-29 16:13:46+02:00,True,2025-05-29 18:13:00+02:00,2025-05-29 18:14:48+02:00,2025-05-29 18:14:48+02:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:01:48,-1 days +22:00:46
2025-05-29 18:26:00+02:00,RUT:Line:160,2025-05-29 16:26:36+02:00,True,2025-05-29 18:26:00+02:00,2025-05-29 18:28:20+02:00,2025-05-29 18:28:20+02:00,NSR:Quay:6983,Rykkinn -Nationaltheatret,bus,0 days 00:02:20,-1 days +22:00:36
2025-05-29 18:28:00+02:00,RUT:Line:160,2025-05-29 16:29:06+02:00,True,2025-05-29 18:28:00+02:00,2025-05-29 18:30:42+02:00,2025-05-29 18:30:42+02:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:02:42,-1 days +22:01:06
2025-05-29 18:41:00+02:00,RUT:Line:160,2025-05-29 16:42:25+02:00,True,2025-05-29 18:41:00+02:00,2025-05-29 18:43:20+02:00,2025-05-29 18:43:20+02:00,NSR:Quay:6983,Rykkinn -Nationaltheatret,bus,0 days 00:02:20,-1 days +22:01:25
2025-05-29 18:43:00+02:00,RUT:Line:160,2025-05-29 16:43:41+02:00,True,2025-05-29 18:43:00+02:00,2025-05-29 18:44:37+02:00,2025-05-29 18:44:37+02:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:01:37,-1 days +22:00:41
2025-05-29 18:56:00+02:00,RUT:Line:160,2025-05-29 16:57:00+02:00,True,2025-05-29 18:56:00+02:00,2025-05-29 18:57:13+02:00,2025-05-29 18:57:13+02:00,NSR:Quay:6983,Rykkinn -Nationaltheatret,bus,0 days 00:01:13,-1 days +22:01:00
2025-05-29 18:58:00+02:00,RUT:Line:160,2025-05-29 16:58:46+02:00,True,2025-05-29 18:58:00+02:00,2025-05-29 19:00:15+02:00,2025-05-29 19:00:15+02:00,NSR:Quay:6982,Rykkinn -Nationaltheatret,bus,0 days 00:02:15,-1 days +22:00:46
2025-05-29 19:11:00+02:00,RUT:Line:160,2025-05-29 16:59:46+02:00,True,2025-05-29 19:11:00+02:00,2025-05-29 19:12:42+02:00,2025-05-29 19:12:42+02:00,NSR:Quay:6983,Rykkinn -Nationaltheatret,bus,0 days 00:01:42,-1 days +21:48:46
